"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
2.07502395419196e-05,7.67681100667179e-06,5.3392486018912e-05,5.09875210661094e-06,2.47923572491815e-05,3.74278438661442e-06,1.77932405036669e-05,0.673178747232561,8.08115732858417e-05,4.24996729535898e-06,3.82397743766932e-06,0.313242977497196,0.00665542710669956,8.77231146787301e-05,0.000436478511889498,0.00163269278530389,4.51538888925322e-05,0.0044273663782678,5.99970030400479e-05,1.13042926392526e-05
4.79584800534519e-06,1.52335195934399e-06,1.65381742592723e-05,9.23326004145829e-07,6.35905115878763e-06,6.53700002369975e-07,4.09305836275617e-06,0.997318692548579,2.8157075561227e-05,7.55291637498726e-07,6.7265021743869e-07,0.00194744283089357,0.00016844464228295,2.97349982830903e-05,0.00022619747494532,7.95888275811768e-05,1.32468603794142e-05,0.000129868665737753,1.98572677873298e-05,2.45435636263727e-06
0.000144335378587258,1.61342260592556e-05,0.000697624769928163,5.45044344691959e-06,0.00165163757360504,2.10894246113028e-06,0.000250578952777761,1.74947946769856e-05,0.988050302323784,3.38450784810774e-06,3.14743549068978e-06,4.64691266008582e-06,2.34651034287821e-06,0.000453978027842504,0.000142662350119445,2.32243787897355e-06,0.00624212265054083,2.26407655271062e-06,0.00224541042212537,6.2047263272088e-05
5.14679470299428e-05,0.000180561294360572,1.84825811746473e-06,0.00323156389600537,8.94668121394485e-06,0.000400780728009025,1.78534487399754e-05,9.79388366503568e-07,4.2338329478377e-06,0.974275677504256,0.0217973087835322,6.3900923663801e-07,5.11121165763411e-07,1.61844449848944e-06,1.20975731399588e-06,5.65875188801243e-07,3.28875598406246e-06,4.91304366462631e-07,2.84436223179187e-06,1.76096074348127e-05
2.83908263168745e-05,0.000228476582354177,1.00140326501311e-06,0.0307279082444554,5.55056485546961e-06,5.01569983769249e-05,1.13789537754367e-05,4.55885612404483e-07,2.15002561448787e-06,0.0773958474958396,0.891529998371007,2.89082250279521e-07,2.24938556433775e-07,8.62757267199198e-07,6.03997978058599e-07,2.43182220898131e-07,1.85946979976898e-06,2.18337277877133e-07,1.51744838838197e-06,1.28654347885594e-05
2.82484360425594e-05,0.000282155786596453,9.48330814962054e-07,0.102129191324262,5.92161893862297e-06,2.70667345150877e-05,1.23528678406792e-05,4.02081956105744e-07,1.99518558077779e-06,0.0081782439275919,0.889313829890595,2.49408310901369e-07,1.893155427665e-07,8.14701521246684e-07,5.48824277093469e-07,2.00560297260707e-07,1.84362170590798e-06,1.84389656009025e-07,1.41444703349634e-06,1.41985469204158e-05
0.000804151087249797,0.944169322119972,1.65905080676766e-05,0.0441999396538895,0.000168908198339566,0.000141327205928199,0.000403437553022149,5.16562928698791e-06,4.09425492648763e-05,0.00406893323287893,0.004993613118936,2.91942815486787e-06,2.1232792526262e-06,1.35113992655033e-05,8.31147518485672e-06,2.29389085710519e-06,3.83728371235135e-05,2.09917253035045e-06,2.98988009791724e-05,0.000888138859816547
7.06516677126944e-06,2.5061538829604e-06,2.10361019685736e-05,1.62171459463899e-06,8.85137950207089e-06,1.20514425323331e-06,6.12742036455717e-06,0.949502967117714,3.18722218627824e-05,1.36028481484668e-06,1.21577837242265e-06,0.0473120872956523,0.00145232371443557,3.55339862620427e-05,0.00021050908881363,0.000429431077529373,1.70761370949121e-05,0.000929448150532812,2.39546708545002e-05,3.80739472365686e-06
1.83102075158287e-06,7.34687746463131e-07,3.55645348829684e-06,5.19022389814091e-07,1.94680921707701e-06,4.30248015712287e-07,1.52197921603353e-06,0.00272981278089268,5.4636464520687e-06,4.58499960558174e-07,4.04583242031931e-07,0.978059393220596,0.0131532795130766,5.33684215932986e-06,2.10141851751635e-05,0.00111445398147051,3.17167535935217e-06,0.00489152372677637,4.14512041886817e-06,1.00200359517264e-06
2.14299329615029e-06,9.28984045191452e-07,3.11723835261861e-06,6.85259392445565e-07,2.07274862528517e-06,6.51489827001783e-07,1.77018502024021e-06,0.000243682900169877,4.9712400929973e-06,6.40849900236376e-07,5.50699342736772e-07,0.00540017099908043,0.599106659359575,4.26100126882329e-06,1.23469021011706e-05,0.077348857050602,3.05267426246774e-06,0.31785848532707,3.7739013366817e-06,1.178196638112e-06
