,37,39,41,59,63,67,75,90,91,99,106,107,116,119,124,129,137,139
79,herenegun,herenegun,herenegun,herenegun,herenegun,herenegun,herenegun,herenegun,herenegun,herenegun,"herenegun,atzodamu","herenegun,atzodamu",herenegun,herenegun,herenegun,herenegun,herenegun,herenegun
80,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar,bihar
81,etzi,etzi,etzi,"bihar pasatuta,etzi",etzi,etzi,etzi,etzi,etzi,etzi,etzi,etzi,etzi,etzi,etzi,etzi,etzi,etzi
82,etzilimo,etzidamu,etzilimo,etzidamu,etzidamu,etzidamu,etzidamu,etzidamu,etzidamu,etzidamu,etzidamu,etzidamu,etzidamu,etzidamu,etzidamu,etzidamu,etzidamu,etziago
83,bezpera,bezpera,"bezpera,aurreko egun",bezpera,bezpera,bezpera,bezpera,bezpera,bezpera,bezpera,bezpera,bezpera,bezpera,bezpera,bezpera,bezpera,"bezpera,aitzineko egun",bezpera
84,bihar goizean,biharamon,biharamon,biharamon,biharamon,"hurrengo egun,biharamon",biharamon,biharamon,"biharamon,beste egun",biharamon,biharamon,biharamon,biharamon,biharamon,biharamon,biharamon,biharamon,biharamon
85,bart,bart,"atzo gauean,bart","atzo gauean,bart arratsean","atzo gauean,bart,arratsean","atzo gauean,bart,bart arratsean","atzo gauean,bart","atzo arratsean,bart",atzo arratsean,"atzo arratsean,barda","atzo arratsean,barda arratsean","atzo arratsean,barda",barda,"atzo arratsean,barda",barda,barda,barda,barda
86,"egunsenti,egunabar",egunsenti,"egunsenti,egunabar","alba,goizargi,egun zabaltze,egunsenti",eguntxirrinta,egunsenti,egunsenti,"argiaste,goizargi",argiaste,argizabal,"argiaste,argitxirrinta",argiaste,"argiaste,argitxirrinta","argiaste,argitxirrinta","argiaste,argitxirrinta,argiurratze",argitxirrinta,"argiozkorri,argiaste,ubel,argitxirrinta","argileinu,ekixelkigia,elkixelkitze,argiaste"
87,goizalde,goizalde,"gauerdioste,goizalde",goizalde,"goizalde,goiz",goizalde,goizalde,goizalde,goizalde,goiztar,goizalde,goizalde,goizalde,"goiz goizik,goizalde","goizalde,goiz,argia gabe","goiz,goizean goiz","goizean goiz,goizean",goiz
88,goiz,goiz,goiz,"goiz,eguerdiarte","goiz,eguerdiarte","eguerdiarte,goiz","goiz,goiztegi",goiz,goiz,goiz,"goiz,goizondo",goiz,goiz,goiz,goiz,goiz,goizalde,"goiz,goizalde"
89,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi,eguerdi
90,"arratsalde,bazkaloste",arratsalde,arratsalde,arratsalde,arratsalde,"arratsalde,bazkalondo","arratsalde,bazkalondo",arratsalde,arratsalde,arratsalde,arratsalde,arratsalde,arratsalde,arratsalde,"arratsalde,eguerdiondo",arratsalde,arrasti,"arrasti,arratsalde"
91,ilunkera,iluntze,"ilunkera,ilunabar","ilunabar,ilunar","ilunabar,iluntze,arrats","ilunabar,iluntze",iluntze,ilunabar,ilunabar,ilun,"iluntze,ilunabar",arrats,"ilunabar,iluntze","arrastiri,iluntze",arrastiri,"iluntze,ilunar","iluntze,gaur,ilunabar","ilunabar,arrastiri apal,gaur"
92,gau,gau,gau,gau,gau,"gau,arrats",gau,gau,gau,gau,"gau,ilun,arrats",gau,"gau,ilun",gau,"gau,ilun","gau,arrats",gau,gau
93,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi,gauerdi
94,egunon,egunon,egunon,egunon,egunon,egunon,egunon,egunon,egunon,egunon,jinkoak dizula egunon,egunon,"egunon,jainkoak dizula egunon","egunon,jainkoak dizula egunon","egunon,jinkoak dizula egunon",egunon,egunon,egunon
95,eguerdion,eguerdion,eguerdion,eguerdion,eguerdion,arratsaldeon,egunon,egunon,arratsaldeon,egunon,"egunon,jinkoak dizula egunon",egunon,egunon,egunon,egunon,egunon,arrastion,egunon
96,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,jinkoak dizula arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,"arratsaldeon,jinkoak dizula arratsaldeon",arratsaldeon,arratsaldeon,arrastion
97,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,arratsaldeon,jinkoak dizula arratsaldeon,arratsaldeon,arratsaldeon,arrastion
98,"ilunkaraon,arratsaldeon",iluntzeon,ilunkaraon,"arratsaldeon,gauon",gauon,"arratsaldeon,gauon","arratsaldeon,gauon","arratsaldeon,gauon",gauon,"arratsaldeon,gauon",jinkoak dizula arratsaldeon,arratsaldeon,gauon,arratsaldeon,gauon,arratsaldeon,gauon,gauon
99,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon,gauon
100,goiz,goiz,goiz,goiz,"garaiz,goiz","goiz,garaiz","goiz,liztogi",goizik,"goizik,fite",fite,"goiz,goizik",goizik,"goiz,goizik",goiz,goizik,"goizik,goiz,ahantzu","goizik,goiz",goizik
101,"berandu,belu",berandu,berandu,berandu,berandu,berandu,berandu,berandu,berandu,berant,berant,"berant,gibelamenduarekin",berant,berant,berant,berant,berant,berant
102,lehen,"sasoi,antzina","sasoi,aspaldi,antzina","antzina,sasoi","garai,antzina,lehen",garai,"lehen,aurretik,aspaldi",denbora,lehen,lehengo denbora,"lehen,aspaldi","lehen,aspaldi","lehen,aspaldi","lehen,aspaldi,bertzorduz,denbora","lehen,denbora,aspaldi","lehen,aspaldi,lehengo denbora","lehen,iragan aspaldi,aspaldiko partez","lehen,aspaldi,bertzorduz"
103,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain
104,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti
105,derrepente,derrepente,"berehala,laster,aurki,atoan,behingoan","segiduan,laster,ondoan,berehala",segiduan,"segiduan,berehala","berehala,segiduan,presaka","segiduan,agudo",berehala,berehala,"kuxian,berehala,fite","berehala,kuxian,brista-brista,fite","berehala,fite,segiduan",berehala,"berehala,abian",berehala,"arrunt,istantean,berehala","arrunt,berehala,derrepente"
106,oraindino,oraindino,oraindino,"oraindik,oraindikan",oraindik,"oraindik,oraindikan,oraindino",oraindino,oraindik,oraindik,oraindino,oraindino,oraindino,oraindino,oraindino,oraindino,oraindino,oraindino,oraindino
107,Poliki-poliki,Apurka-apurka,"Poliki-poliki,apurka-apurka,geldiro-geldiro,pitika-pitika","Pixkaka-pixkaka,poliki-poliki",pixkaka-pixkaka,pixkaka-pixkaka,"Geldiro-geldiro,pixkaka-pixkaka",Pixkaka-pixkaka,"Pixkaka-pixkaka,pitaka-pitaka",Emeki-emeki,"Emeki-emeki,baratxe-baratxe","Pitaka-pitaka,emeki-emeki","Puxka-puxkaka,emeki-emeki","Pitaka-pitaka,emeki-emeki",Emeki-emeki,Emeki-emeki,"Baratxe-baratxe,emeki-emeki",Emeki-emeki
108,soseguz,soseguz,"soseguz,astiro,poliki",geldiro,"poliki,despazio,geldiro,motel","geldi,despazio,mantso",geldiro,mantso,mantso,emeki,"emeki,eztiki,baratxe","emeki,astiro,eztiki","emeki,eztiki","emeki,erreposki,eztiki","emeki,erreposki,terter","erreposki,terter","baratxe,emeki,urriki",baratxe
109,agudo,bizkor,"azkar,laster","mogitu,azkar",azkar,mogitu,"listo,mogitu",mogitu,mogitu,presa,"mogitu,laster,erne","erne,mogitu,presa",erne,erne,"erne,presa",erne,zotuka,"zotuka,haigu berehala,erne"
110,"denbora,asti","denbora,asti","denbora,asti","denbora,beta","denbora,beta","denbora,beta","denbora,beta","denbora,asti",denbora,denbora,"asti,denbora",asti,"denbora,asti","asti,aizina","asti,aizina,denbora",aizina,"denbora,aizina","aizina,arte"
111,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan
112,lehen,lehen,lehen,lehen,lehen,lehen,lehen,lehen,"lehen,aresti",lehen,"lehen,aintzin,gabe",lehen,"aresti,lehen,gabe","aintzin,gabe,lehen","aintzin,lehen,gabe","lehen,gabe","lehen,gabe","aintzin,lehen,gabe"
113,gero,gero,"gero,ondoren",gero,gero,gero,gero,gero,gero,gero,"gero,ondoan,landa,lekura","gero,ondoan,landa,lekura","gero,ondoan","gero,ondoan,landa","gero,pasatuta,ondoan,landa","gero,landa","gero,landa,ondoan","gero,landa,eta,ondoan"
114,momentu,"istante,une","momentu,takada,une","momentu,une","momentu,istante,une",momentu,"istante,momentu",momentu,momentu,momentu,istante,"momentu,istante","momentu,istante",istante,"istante,momentu",istante,"istante,momentu","amiñi,istante,momentu"
115,"segituan,oraintxe,laster",laster,berehala,segituan,"segituan,berehala","segituan,azkar,laster","berehala,segituan","agudo,berehala",berehala,berehala,"istante,sarri",istante,sarri,"istante,berehala,sarri","sarri,bulta",sarri,sarri,sarri
116,agudo,bizkor,"azkar,bizkor,arin,agudo","azkar,segituan,bizkor",azkar,azkar,"listo,azkar",agudo,fite,fite,"zalui,fite,laster","fite,laster,zalui",fite,fite,"zalui,laster,zalui,fite",fite,"zalui,fite","zalui,bertan"
117,ordu,ordu,ordu,ordu,ordu,ordu,ordu,ordu,ordu,"oren,tenore","ordu,oren,tenore","oren,tenore","oren,tenore","oren,tenore,ordu","ordu,tenore,oren","oren,tenore",tenore,tenore
118,urteberri,urteberri,urteberri,urteberri,urteberri,urteberri,urteberri,urteberri,urteberri,urteberri,"urtats,urteberri",urtats,urtats,urtats,urtats,urtats,urtats,urtats
